,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,intersection_street_1,intersection_street_2,landmark,closed_date,taxi_pick_up_location,due_date,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction
13,57102811,2023-03-22T01:53:54.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11226.0,116 LENOX ROAD,LENOX ROAD,BEDFORD AVENUE,ROGERS AVENUE,ADDRESS,BROOKLYN,,In Progress,,2023-03-22T02:27:26.000,17 BROOKLYN,3050840024.0,BROOKLYN,996645.0,177483.0,MOBILE,Unspecified,BROOKLYN,40.65381784344286,-73.95532896987159,"{'latitude': '40.65381784344286', 'longitude': '-73.95532896987159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13510.0,61.0,2.0,11.0,40.0,BEDFORD AVENUE,ROGERS AVENUE,LENOX ROAD,,,,,,,
14,57102598,2023-03-22T01:53:41.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10461.0,2500 POPLAR STREET,POPLAR STREET,LURTING AVENUE,ROSELLE STREET,ADDRESS,BRONX,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-03-22T01:57:14.000,11 BRONX,2040780109.0,BRONX,1025779.0,246773.0,ONLINE,Unspecified,BRONX,40.84391237166778,-73.8499035719149,"{'latitude': '40.84391237166778', 'longitude': '-73.8499035719149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11270.0,59.0,5.0,12.0,32.0,LURTING AVENUE,ROSELLE STREET,POPLAR STREET,2023-03-22T01:57:11.000,,,,,,
15,57100008,2023-03-22T01:53:20.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11204.0,5602 19 AVENUE,19 AVENUE,55 STREET,58 STREET,ADDRESS,BROOKLYN,,In Progress,,2023-03-22T02:40:21.000,12 BROOKLYN,3054940089.0,BROOKLYN,989018.0,166212.0,ONLINE,Unspecified,BROOKLYN,40.62288874749557,-73.98282430288623,"{'latitude': '40.62288874749557', 'longitude': '-73.98282430288623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16867.0,2.0,2.0,18.0,39.0,55 STREET,58 STREET,19 AVENUE,,,,,,,
16,57105470,2023-03-22T01:53:04.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11357.0,22-22 LEE STREET,LEE STREET,22 AVENUE,23 AVENUE,ADDRESS,WHITESTONE,,In Progress,,2023-03-22T02:49:09.000,07 QUEENS,4046350028.0,QUEENS,1033465.0,223190.0,MOBILE,Unspecified,QUEENS,40.77914424007025,-73.82229738262834,"{'latitude': '40.77914424007025', 'longitude': '-73.82229738262834', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14192.0,22.0,3.0,20.0,67.0,22 AVENUE,23 AVENUE,LEE STREET,,,,,,,
17,57100866,2023-03-22T01:52:57.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456.0,1195 BOSTON ROAD,BOSTON ROAD,HOME STREET,JACKSON AVENUE,ADDRESS,BRONX,,In Progress,,,03 BRONX,2026140035.0,BRONX,1011177.0,241394.0,ONLINE,Unspecified,BRONX,40.8292051835461,-73.90270047392507,"{'latitude': '40.8292051835461', 'longitude': '-73.90270047392507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10934.0,34.0,5.0,42.0,25.0,HOME STREET,JACKSON AVENUE,BOSTON ROAD,,,,,,,
18,57103427,2023-03-22T01:51:50.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,10065.0,401 EAST   64 STREET,EAST   64 STREET,1 AVENUE,YORK AVENUE,ADDRESS,NEW YORK,,In Progress,,,08 MANHATTAN,1014590001.0,MANHATTAN,995483.0,217132.0,ONLINE,Unspecified,MANHATTAN,40.76264648982634,-73.95945061940378,"{'latitude': '40.76264648982634', 'longitude': '-73.95945061940378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10090.0,23.0,4.0,1.0,11.0,1 AVENUE,YORK AVENUE,EAST   64 STREET,,,,,,,
19,57100078,2023-03-22T01:50:59.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11374.0,99-12 62 ROAD,62 ROAD,99 STREET,102 STREET,ADDRESS,REGO PARK,,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-03-22T01:54:23.000,06 QUEENS,4021080013.0,QUEENS,1023700.0,206880.0,ONLINE,Unspecified,QUEENS,40.73442648773097,-73.85765189834603,"{'latitude': '40.73442648773097', 'longitude': '-73.85765189834603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14785.0,40.0,3.0,28.0,70.0,99 STREET,102 STREET,62 ROAD,2023-03-22T01:54:20.000,,,,,,
20,57105268,2023-03-22T01:50:43.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11357.0,145-08 23 AVENUE,23 AVENUE,PARSONS BOULEVARD,LEE STREET,ADDRESS,WHITESTONE,,In Progress,,2023-03-22T02:59:59.000,07 QUEENS,4046400007.0,QUEENS,1033183.0,222937.0,MOBILE,Unspecified,QUEENS,40.7784513889704,-73.82331745136648,"{'latitude': '40.7784513889704', 'longitude': '-73.82331745136648', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14192.0,22.0,3.0,3.0,67.0,PARSONS BOULEVARD,LEE STREET,23 AVENUE,,,,,,,
21,57102351,2023-03-22T01:50:04.000,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Other,10013.0,60 LAFAYETTE STREET,LAFAYETTE STREET,LEONARD STREET,FRANKLIN STREET,ADDRESS,NEW YORK,,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-03-22T02:35:03.000,01 MANHATTAN,1001710031.0,MANHATTAN,983605.0,200302.0,PHONE,Unspecified,MANHATTAN,40.716459431762694,-74.0023267359905,"{'latitude': '40.716459431762694', 'longitude': '-74.0023267359905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,56.0,4.0,32.0,2.0,LEONARD STREET,FRANKLIN STREET,LAFAYETTE STREET,,,,,,,
22,57102389,2023-03-22T01:49:30.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11372.0,35-63 90 STREET,90 STREET,35 AVENUE,37 AVENUE,ADDRESS,JACKSON HEIGHTS,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-03-22T01:52:35.000,03 QUEENS,4014640043.0,QUEENS,1018331.0,213000.0,ONLINE,Unspecified,QUEENS,40.75124666182495,-73.87699391500416,"{'latitude': '40.75124666182495', 'longitude': '-73.87699391500416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14783.0,65.0,3.0,5.0,73.0,35 AVENUE,37 AVENUE,90 STREET,2023-03-22T01:52:31.000,,,,,,
23,57104495,2023-03-22T01:48:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10461.0,1541 LURTING AVENUE,LURTING AVENUE,POPLAR STREET,DEAD END,ADDRESS,BRONX,,In Progress,,,11 BRONX,2040680015.0,BRONX,1025688.0,246807.0,ONLINE,Unspecified,BRONX,40.844006119074024,-73.85023225844915,"{'latitude': '40.844006119074024', 'longitude': '-73.85023225844915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11270.0,59.0,5.0,12.0,32.0,POPLAR STREET,DEAD END,LURTING AVENUE,,,,,,,
24,57103421,2023-03-22T01:47:50.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10458.0,EAST  199 STREET,EAST  199 STREET,DECATUR AVENUE,WEBSTER AVENUE,BLOCKFACE,,,In Progress,Your complaint has been received by the Police Department and additional information will be available later.,2023-03-22T02:10:13.000,Unspecified BRONX,,BRONX,,,PHONE,Unspecified,BRONX,,,,,,,,,DECATUR AVENUE,WEBSTER AVENUE,,,,,,,,
25,57108251,2023-03-22T01:47:35.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10472.0,1544 EAST  174 STREET,EAST  174 STREET,BRONX RIVER AVENUE,WARD AVENUE,ADDRESS,BRONX,,In Progress,,,09 BRONX,2038850001.0,BRONX,1017708.0,243280.0,ONLINE,Unspecified,BRONX,40.83435938088846,-73.87909161417085,"{'latitude': '40.83435938088846', 'longitude': '-73.87909161417085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11610.0,58.0,5.0,31.0,26.0,BRONX RIVER AVENUE,WARD AVENUE,EAST  174 STREET,,,,,,,
26,57107668,2023-03-22T01:46:55.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10466.0,718 EAST  223 STREET,EAST  223 STREET,WHITE PLAINS ROAD,BARNES AVENUE,ADDRESS,BRONX,,In Progress,,,12 BRONX,,BRONX,1022874.0,262135.0,ONLINE,Unspecified,BRONX,40.88608953482772,-73.8603144289452,"{'latitude': '40.88608953482772', 'longitude': '-73.8603144289452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11275.0,29.0,5.0,2.0,30.0,WHITE PLAINS ROAD,BARNES AVENUE,EAST  223 STREET,,,,,,,
27,57099578,2023-03-22T01:46:02.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10302.0,12 SIMONSON PLACE,SIMONSON PLACE,BOND STREET,CASTLETON AVENUE,ADDRESS,STATEN ISLAND,,In Progress,,2023-03-22T02:52:44.000,01 STATEN ISLAND,5010180041.0,STATEN ISLAND,948076.0,170373.0,ONLINE,Unspecified,STATEN ISLAND,40.63423723484258,-74.13033128155585,"{'latitude': '40.63423723484258', 'longitude': '-74.13033128155585', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10370.0,4.0,1.0,13.0,75.0,BOND STREET,CASTLETON AVENUE,SIMONSON PLACE,,,,,,,
28,57099700,2023-03-22T01:45:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225.0,1700 BEDFORD AVENUE,BEDFORD AVENUE,MONTGOMERY STREET,SULLIVAN PLACE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-03-22T01:51:55.000,09 BROOKLYN,3013020001.0,BROOKLYN,996159.0,181617.0,ONLINE,Unspecified,BROOKLYN,40.66516542913646,-73.9570731909286,"{'latitude': '40.66516542913646', 'longitude': '-73.9570731909286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13509.0,17.0,2.0,48.0,44.0,MONTGOMERY STREET,SULLIVAN PLACE,BEDFORD AVENUE,2023-03-22T01:51:49.000,,,,,,
29,57107016,2023-03-22T01:45:28.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11237.0,154 HARRISON PLACE,HARRISON PLACE,PORTER AVENUE,VARICK AVENUE,ADDRESS,BROOKLYN,,In Progress,,2023-03-22T02:04:13.000,01 BROOKLYN,3030050020.0,BROOKLYN,1004369.0,196889.0,ONLINE,Unspecified,BROOKLYN,40.707068709126766,-73.92743408959103,"{'latitude': '40.707068709126766', 'longitude': '-73.92743408959103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13828.0,36.0,2.0,30.0,56.0,PORTER AVENUE,VARICK AVENUE,HARRISON PLACE,,,,,,,
30,57098924,2023-03-22T01:45:14.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10451.0,3114 THIRD AVENUE,THIRD AVENUE,EAST  159 STREET,WASHINGTON AVENUE,ADDRESS,BRONX,,In Progress,,,01 BRONX,2023640052.0,BRONX,1008725.0,238811.0,MOBILE,Unspecified,BRONX,40.82212272214562,-73.91157008366072,"{'latitude': '40.82212272214562', 'longitude': '-73.91157008366072', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10929.0,49.0,5.0,43.0,23.0,EAST  159 STREET,WASHINGTON AVENUE,3 AVENUE,,,,,,,
31,57107142,2023-03-22T01:44:57.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452.0,1014 GERARD AVENUE,GERARD AVENUE,EAST  164 STREET,EAST  165 STREET,ADDRESS,BRONX,,In Progress,,,04 BRONX,2024770007.0,BRONX,1005587.0,242030.0,ONLINE,Unspecified,BRONX,40.8309660939894,-73.92289765759232,"{'latitude': '40.8309660939894', 'longitude': '-73.92289765759232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10930.0,50.0,5.0,35.0,27.0,EAST  164 STREET,EAST  165 STREET,GERARD AVENUE,,,,,,,
32,57099450,2023-03-22T01:44:43.000,DSNY,Department of Sanitation,Sanitation Worker or Vehicle Complaint,Inappropriate Behavior,Street,11373.0,85-04 52 AVENUE,52 AVENUE,HASPEL STREET,VAN HORN STREET,ADDRESS,ELMHURST,,In Progress,,,04 QUEENS,4028760007.0,QUEENS,1017167.0,206908.0,PHONE,Unspecified,QUEENS,40.73453006718462,-73.88122486389214,"{'latitude': '40.73453006718462', 'longitude': '-73.88122486389214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14784.0,66.0,3.0,5.0,68.0,HASPEL STREET,VAN HORN STREET,52 AVENUE,,,,,,,
33,57103939,2023-03-22T01:44:08.000,DCA,Department of Consumer Affairs,Consumer Complaint,Gas Station,Business,11367.0,72-09 MAIN STREET,MAIN STREET,72 AVENUE,72 ROAD,ADDRESS,FLUSHING,,In Progress,,,08 QUEENS,4066600001.0,QUEENS,1033678.0,203975.0,PHONE,Unspecified,QUEENS,40.726402857120476,-73.82166954133379,"{'latitude': '40.726402857120476', 'longitude': '-73.82166954133379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14509.0,25.0,3.0,24.0,65.0,72 AVENUE,72 ROAD,MAIN STREET,,,,,,,
34,57102459,2023-03-22T01:43:55.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10451.0,3114 THIRD AVENUE,THIRD AVENUE,EAST  159 STREET,WASHINGTON AVENUE,ADDRESS,BRONX,,In Progress,,,01 BRONX,2023640052.0,BRONX,1008725.0,238811.0,MOBILE,Unspecified,BRONX,40.82212272214562,-73.91157008366072,"{'latitude': '40.82212272214562', 'longitude': '-73.91157008366072', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10929.0,49.0,5.0,43.0,23.0,EAST  159 STREET,WASHINGTON AVENUE,3 AVENUE,,,,,,,
35,57107316,2023-03-22T01:43:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225.0,1700 BEDFORD AVENUE,BEDFORD AVENUE,MONTGOMERY STREET,SULLIVAN PLACE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-03-22T01:51:20.000,09 BROOKLYN,3013020001.0,BROOKLYN,996159.0,181617.0,ONLINE,Unspecified,BROOKLYN,40.66516542913646,-73.9570731909286,"{'latitude': '40.66516542913646', 'longitude': '-73.9570731909286', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13509.0,17.0,2.0,48.0,44.0,MONTGOMERY STREET,SULLIVAN PLACE,BEDFORD AVENUE,2023-03-22T01:51:15.000,,,,,,
36,57098714,2023-03-22T01:43:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11418.0,91-18 108 STREET,108 STREET,91 AVENUE,ATLANTIC AVENUE,ADDRESS,RICHMOND HILL,,In Progress,,2023-03-22T02:53:54.000,09 QUEENS,4093140014.0,QUEENS,1029128.0,191649.0,MOBILE,Unspecified,QUEENS,40.69259522153114,-73.83816752927316,"{'latitude': '40.69259522153114', 'longitude': '-73.83816752927316', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24014.0,46.0,3.0,41.0,60.0,91 AVENUE,ATLANTIC AVENUE,108 STREET,,,,,,,
37,57103124,2023-03-22T01:42:21.000,TLC,Taxi and Limousine Commission,Lost Property,Electronics/Phones,Taxi,10011.0,8 AVENUE,8 AVENUE,8 AVENUE,WEST   19 STREET,INTERSECTION,,,In Progress,,,04 MANHATTAN,,MANHATTAN,984174.0,209913.0,PHONE,Unspecified,MANHATTAN,40.742839300033985,-74.00027426659143,"{'latitude': '40.742839300033985', 'longitude': '-74.00027426659143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12074.0,12.0,4.0,10.0,6.0,8 AVENUE,WEST   19 STREET,,,"8 AVENUE AND WEST   19 STREET, MANHATTAN, NY, 10011",,,,,
38,57098702,2023-03-22T01:42:12.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11221.0,456 JEFFERSON AVENUE,JEFFERSON AVENUE,THROOP AVENUE,MARCUS GARVEY BOULEVARD,ADDRESS,BROOKLYN,,In Progress,,,03 BROOKLYN,3018360030.0,BROOKLYN,1000974.0,188651.0,PHONE,Unspecified,BROOKLYN,40.68446438555679,-73.93969974358453,"{'latitude': '40.68446438555679', 'longitude': '-73.93969974358453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18181.0,69.0,2.0,49.0,51.0,THROOP AVENUE,MARCUS GARVEY BOULEVARD,JEFFERSON AVENUE,,,,,,,
39,57105619,2023-03-22T01:39:40.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11219.0,1536 62 STREET,62 STREET,,,ADDRESS,BROOKLYN,N/A,Open,The graffiti on this property has been scheduled to be removed by the City.,2023-03-22T01:39:40.000,11 BROOKLYN,3055300019.0,BROOKLYN,985793.0,166797.0,UNKNOWN,Unspecified,BROOKLYN,40.62449559876351,-73.9944415397378,"{'latitude': '40.62449559876351', 'longitude': '-73.9944415397378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17621.0,1.0,2.0,7.0,37.0,,,,,,2023-04-21T01:39:40.000,,,,
